iter	Passed	Remaining
0	163	163371
1	167	83755
2	169	56215
3	170	42480
4	171	34221
5	173	28714
6	174	24809
7	176	21847
8	177	19541
9	178	17714
10	180	16218
11	182	15041
12	184	13975
13	185	13049
14	186	12262
15	187	11556
16	189	10941
17	190	10393
18	191	9906
19	193	9469
20	194	9082
21	196	8744
22	197	8410
23	199	8103
24	200	7820
25	201	7558
26	203	7317
27	204	7088
28	205	6881
29	206	6683
30	208	6507
31	209	6340
32	211	6204
33	213	6054
34	214	5910
35	215	5772
36	216	5646
37	218	5525
38	219	5410
39	220	5301
40	222	5197
41	224	5113
42	226	5030
43	227	4939
44	228	4849
45	229	4769
46	231	4688
47	232	4610
48	233	4538
49	235	4467
50	236	4407
51	238	4352
52	240	4297
53	241	4235
54	243	4177
55	244	4126
56	246	4078
57	247	4026
58	249	3973
59	250	3921
60	251	3872
61	252	3825
62	254	3786
63	256	3747
64	257	3703
65	258	3662
66	260	3621
67	261	3582
68	262	3546
69	264	3509
70	265	3475
71	267	3442
72	268	3413
73	270	3386
74	272	3355
75	273	3322
76	274	3291
77	275	3260
78	277	3230
79	278	3201
80	279	3174
81	281	3146
82	281	3114
83	283	3094
84	285	3073
85	286	3049
86	288	3024
87	289	3000
88	290	2976
89	292	2955
90	293	2933
91	295	2912
92	296	2890
93	297	2869
94	299	2855
95	301	2836
96	302	2816
97	303	2797
98	305	2779
99	306	2761
100	308	2745
101	309	2728
102	311	2712
103	313	2696
104	314	2683
105	316	2669
106	318	2655
107	319	2640
108	321	2627
109	323	2613
110	324	2598
111	326	2585
112	327	2570
113	329	2558
114	331	2548
115	332	2535
116	333	2519
117	335	2508
118	337	2496
119	338	2485
120	340	2473
121	341	2459
122	343	2450
123	345	2441
124	347	2429
125	348	2418
126	349	2404
127	351	2393
128	352	2382
129	354	2371
130	355	2359
131	357	2349
132	358	2340
133	361	2333
134	362	2324
135	364	2314
136	365	2304
137	367	2295
138	369	2286
139	370	2277
140	372	2270
141	373	2258
142	375	2251
143	377	2242
144	378	2234
145	380	2225
146	382	2216
147	383	2208
148	385	2199
149	386	2190
150	388	2182
151	389	2175
152	391	2167
153	393	2159
154	394	2152
155	396	2144
156	397	2136
157	399	2127
158	400	2119
159	402	2111
160	403	2102
161	405	2095
162	406	2089
163	408	2081
164	409	2074
165	411	2066
166	412	2058
167	414	2050
168	415	2043
169	417	2037
170	419	2031
171	420	2025
172	422	2017
173	423	2010
174	425	2003
175	426	1996
176	427	1989
177	429	1982
178	430	1975
179	432	1968
180	433	1962
181	435	1957
182	437	1951
183	438	1944
184	439	1938
185	441	1931
186	442	1925
187	444	1919
188	445	1913
189	447	1906
190	449	1902
191	450	1897
192	452	1890
193	453	1884
194	454	1877
195	456	1871
196	457	1865
197	459	1859
198	460	1853
199	462	1848
200	463	1843
201	465	1838
202	466	1832
203	468	1826
204	469	1820
205	470	1814
206	471	1807
207	473	1802
208	474	1796
209	476	1791
210	477	1785
211	479	1780
212	480	1775
213	481	1769
214	483	1763
215	484	1758
216	485	1752
217	486	1746
218	488	1740
219	489	1734
220	490	1729
221	492	1724
222	493	1720
223	495	1715
224	496	1711
225	498	1707
226	499	1702
227	501	1698
228	503	1693
229	504	1689
230	506	1685
231	507	1680
232	509	1676
233	510	1672
234	512	1667
235	513	1662
236	515	1658
237	516	1653
238	517	1648
239	519	1643
240	520	1639
241	522	1635
242	523	1631
243	525	1627
244	526	1623
245	528	1618
246	529	1615
247	531	1611
248	532	1607
249	534	1602
250	535	1597
251	536	1593
252	538	1588
253	539	1585
254	541	1582
255	543	1578
256	544	1574
257	545	1569
258	546	1564
259	548	1560
260	549	1555
261	550	1551
262	552	1546
263	553	1543
264	555	1540
265	556	1536
266	558	1532
267	559	1527
268	560	1523
269	561	1518
270	563	1514
271	564	1510
272	565	1505
273	566	1501
274	568	1499
275	570	1497
276	572	1495
277	574	1491
278	575	1487
279	576	1483
280	578	1479
281	579	1475
282	580	1470
283	581	1466
284	583	1463
285	585	1460
286	587	1459
287	589	1456
288	590	1453
289	592	1449
290	593	1446
291	595	1442
292	596	1439
293	598	1436
294	599	1433
295	601	1431
296	603	1428
297	604	1425
298	606	1421
299	607	1418
300	609	1415
301	610	1411
302	612	1408
303	614	1406
304	616	1405
305	619	1404
306	620	1401
307	622	1398
308	623	1395
309	625	1392
